iter	Passed	Remaining
989	43515	439
990	43557	395
991	43602	351
992	43648	307
993	43692	263
994	43737	219
995	43785	175
996	43829	131
997	43873	87
998	43921	43
999	43969	0
